"filename", "language", "Python", "JavaScript", "JSON", "XML", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\backend\collision.py", "Python", 42, 0, 0, 0, 0, 0, 0, 6, 8, 56
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\backend\connection_manager.py", "Python", 19, 0, 0, 0, 0, 0, 0, 1, 5, 25
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\backend\game_state.py", "Python", 54, 0, 0, 0, 0, 0, 0, 8, 11, 73
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\backend\main.py", "Python", 48, 0, 0, 0, 0, 0, 0, 1, 10, 59
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\backend\main_dziala.py", "Python", 171, 0, 0, 0, 0, 0, 0, 24, 38, 233
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\backend\package-lock.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\backend\rocket.py", "Python", 27, 0, 0, 0, 0, 0, 0, 1, 6, 34
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\backend\vector2.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 14, 58
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\package-lock.json", "JSON", 0, 0, 16716, 0, 0, 0, 0, 0, 1, 16717
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\package.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 2, 42
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\App.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\App.js", "JavaScript", 0, 303, 0, 0, 0, 0, 0, 47, 83, 433
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\GameCanvas.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 9, 25, 160
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\components\Game.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 20, 29, 178
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\hooks\useAim.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 10, 27, 146
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\hooks\useExplosions.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 4, 9, 50
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\hooks\useGameWebSocket.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 1, 10, 62
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Wojtek\Desktop\Studia\programowanie\lista7\rocket_war_game\frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 405, 779, 16787, 1, 45, 38, 20, 159, 328, 18562
